bikeid,max_tripduration,min_tripduration,average_tripduration
2208,36992.00,137.00,1770.96
6418,5712.00,118.00,794.33
4326,4215.00,227.00,1062.03
5419,4328.00,212.00,1053.66
4968,2790.00,227.00,1005.48
2670,2438.00,181.00,750.57
5365,4620.00,193.00,1168.33
4062,7551.00,107.00,1150.32
3018,5834.00,141.00,1064.50
5628,7508.00,143.00,1148.29
1617,5650.00,184.00,1468.64
6464,10024.00,180.00,1159.14
101,2911.00,249.00,783.46
6324,3771.00,152.00,762.72
4652,3432.00,84.00,866.92
6380,24270.00,121.00,1797.86
1540,3120.00,164.00,1031.14
2171,2031.00,227.00,875.88
4325,1486.00,340.00,647.50
3364,3018.00,155.00,860.72
5038,2016.00,260.00,685.53
860,4317.00,101.00,872.10
363,3436.00,237.00,853.42
1866,5055.00,194.00,907.41
6051,5152.00,118.00,955.74
6044,3227.00,134.00,845.76
501,4041.00,218.00,995.16
5541,4814.00,173.00,1055.90
3889,8718.00,259.00,1167.12
6003,9703.00,138.00,995.24
6026,4080.00,84.00,809.53
2927,5039.00,70.00,1215.96
4029,6208.00,233.00,1084.28
1735,2003.00,194.00,715.82
6095,9711.00,163.00,995.13
2296,5896.00,214.00,1060.47
4878,3154.00,157.00,889.62
5591,3522.00,123.00,892.65
1389,5179.00,187.00,962.40
1260,8149.00,144.00,1102.12
5194,6367.00,141.00,996.63
4492,4632.00,172.00,1072.81
2624,5621.00,235.00,1302.54
108,7822.00,162.00,1009.13
1774,10794.00,148.00,1126.68
3571,6564.00,207.00,1002.80
6221,5457.00,133.00,834.42
